Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey"
Bachelor of Science (Computational Biology),Faculty of Science,0.000,$0,$0,$0,$0,NUS,2012,Suppressed,NUS GES 2012,Bachelor of Science (Computational Biology) | NUS 2012
Bachelor of Science (Hons),Faculty of Science,0.761,"$3,190","$3,135","$2,900","$3,410",NUS,2012,No,NUS GES 2012,Bachelor of Science (Hons) | NUS 2012
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.985,"$3,560","$3,525","$3,338","$3,800",NUS,2012,No,NUS GES 2012,Bachelor of Science (Pharmacy) (Hons) | NUS 2012
Bachelor of Business Administration,NUS Business School,0.842,"$3,238","$2,830","$2,515","$3,225",NUS,2012,No,NUS GES 2012,Bachelor of Business Administration | NUS 2012
Bachelor of Business Administration (Hons),NUS Business School,0.883,"$3,976","$3,200","$3,000","$4,000",NUS,2012,No,NUS GES 2012,Bachelor of Business Administration (Hons) | NUS 2012
Bachelor of Business Administration (Accountancy),NUS Business School,0.966,"$2,882","$2,750","$2,600","$2,800",NUS,2012,No,NUS GES 2012,Bachelor of Business Administration (Accountancy) | NUS 2012
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.962,"$3,423","$3,000","$2,700","$3,475",NUS,2012,No,NUS GES 2012,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2012
Bachelor of Computing,School of Computing,0.000,$0,$0,$0,$0,NUS,2012,Suppressed,NUS GES 2012,Bachelor of Computing | NUS 2012
Bachelor of Computing (Communications & Media),School of Computing,0.880,"$3,060","$3,000","$2,625","$3,340",NUS,2012,No,NUS GES 2012,Bachelor of Computing (Communications & Media) | NUS 2012
Bachelor of Computing (Computational Biology),School of Computing,0.000,$0,$0,$0,$0,NUS,2012,Suppressed,NUS GES 2012,Bachelor of Computing (Computational Biology) | NUS 2012
Bachelor of Computing (Computer Engineering),School of Computing,0.900,"$3,630","$3,200","$3,000","$3,942",NUS,2012,No,NUS GES 2012,Bachelor of Computing (Computer Engineering) | NUS 2012
Bachelor of Computing (Computer Science),School of Computing,0.925,"$3,683","$3,300","$3,000","$4,000",NUS,2012,No,NUS GES 2012,Bachelor of Computing (Computer Science) | NUS 2012
Bachelor of Computing (Electronic Commerce),School of Computing,0.914,"$3,289","$3,010","$2,800","$3,500",NUS,2012,No,NUS GES 2012,Bachelor of Computing (Electronic Commerce) | NUS 2012
Bachelor of Computing (Information Systems),School of Computing,0.941,"$3,169","$3,100","$2,888","$3,500",NUS,2012,No,NUS GES 2012,Bachelor of Computing (Information Systems) | NUS 2012
Bachelor of Arts (Architecture),School of Design & Environment,0.951,"$3,717","$3,800","$3,470","$4,000",NUS,2012,No,NUS GES 2012,Bachelor of Arts (Architecture) | NUS 2012
Bachelor of Arts (Industrial Design),School of Design & Environment,0.594,"$2,886","$2,950","$2,650","$3,063",NUS,2012,No,NUS GES 2012,Bachelor of Arts (Industrial Design) | NUS 2012
